"","group_id","eff1eff2","eff2minus1","rho01rho02","rho02minus01","method2","method2, method3","method2, method4_F","method2, method5_T","method3","method3, method4_F","method4_F","method5_T","n"
"82",36,"(0.2, 0.57)",0.37,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","23% (n = 69)","0%","77% (n = 231)","0%",300
"83",38,"(0.2, 0.57)",0.37,"(0.1, 0.1)",0,"0%","0%","0%","0%","47% (n = 141)","0%","53% (n = 159)","0%",300
"84",39,"(0.2, 0.57)",0.37,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","59% (n = 177)","0.33% (n = 1)","40.67% (n = 122)","0%",300
"85",40,"(0.2, 0.57)",0.37,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","62.67% (n = 188)","0%","37.33% (n = 112)","0%",300
"86",27,"(0.16, 0.57)",0.41,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","7.67% (n = 23)","0%","92.33% (n = 277)","0%",300
"87",26,"(0.16, 0.57)",0.41,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","13.67% (n = 41)","0%","86.33% (n = 259)","0%",300
"88",28,"(0.16, 0.57)",0.41,"(0.1, 0.1)",0,"0%","0%","0%","0%","25.33% (n = 76)","0%","74.67% (n = 224)","0%",300
"89",29,"(0.16, 0.57)",0.41,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","35.33% (n = 106)","0%","64.67% (n = 194)","0%",300
"90",30,"(0.16, 0.57)",0.41,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","47% (n = 141)","0%","53% (n = 159)","0%",300
"91",12,"(0.1, 0.57)",0.47,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","0%","0%","100% (n = 300)","0%",300
"92",11,"(0.1, 0.57)",0.47,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","1.33% (n = 4)","0.33% (n = 1)","98.33% (n = 295)","0%",300
"93",13,"(0.1, 0.57)",0.47,"(0.1, 0.1)",0,"0%","0%","0%","0%","7.67% (n = 23)","0%","92.33% (n = 277)","0%",300
"94",14,"(0.1, 0.57)",0.47,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","9.33% (n = 28)","0%","90.67% (n = 272)","0%",300
"95",15,"(0.1, 0.57)",0.47,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","11.67% (n = 35)","0%","88.33% (n = 265)","0%",300
"96",2,"(0.08, 0.57)",0.49,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","0%","0%","100% (n = 300)","0%",300
"97",1,"(0.08, 0.57)",0.49,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","0%","0%","100% (n = 300)","0%",300
"98",3,"(0.08, 0.57)",0.49,"(0.1, 0.1)",0,"0%","0%","0%","0%","2.33% (n = 7)","0%","97.67% (n = 293)","0%",300
"99",4,"(0.08, 0.57)",0.49,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","4.33% (n = 13)","0%","95.67% (n = 287)","0%",300
"100",5,"(0.08, 0.57)",0.49,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","6.33% (n = 19)","0%","93.67% (n = 281)","0%",300
