"","group_id","beta1beta2","beta2minus1","varY1varY2","var2minus1","rho01rho02","rho02minus01","method2","method2, method3","method3","method3, method4_Chi2","method4_Chi2","n"
"89",72,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.07, 0.1)",0.03,"16.33% (n = 49)","0%","0%","0%","83.67% (n = 251)",300
"90",92,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.05, 0.1)",0.05,"47.33% (n = 142)","0%","0%","0%","52.67% (n = 158)",300
"91",36,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","100% (n = 300)",300
"92",16,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.1, 0.07)",-0.03,"21.33% (n = 64)","0%","0%","0%","78.67% (n = 236)",300
"93",56,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.1, 0.1)",0,"60% (n = 180)","0%","0%","0%","40% (n = 120)",300
"94",76,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.07, 0.1)",0.03,"62% (n = 186)","0%","0%","0%","38% (n = 114)",300
"95",96,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,"64.33% (n = 193)","0%","0%","0%","35.67% (n = 107)",300
"96",40,"(0.1, 0.4)",0.3,"(0.5, 1.5)",1,"(0.1, 0.05)",-0.05,"38.67% (n = 116)","0%","0%","0%","61.33% (n = 184)",300
"97",20,"(0.1, 0.4)",0.3,"(0.5, 1.5)",1,"(0.1, 0.07)",-0.03,"60% (n = 180)","0%","0%","0%","40% (n = 120)",300
"98",60,"(0.1, 0.4)",0.3,"(0.5, 1.5)",1,"(0.1, 0.1)",0,"80% (n = 240)","0%","0%","0%","20% (n = 60)",300
"99",80,"(0.1, 0.4)",0.3,"(0.5, 1.5)",1,"(0.07, 0.1)",0.03,"80.67% (n = 242)","0%","0%","0%","19.33% (n = 58)",300
"100",100,"(0.1, 0.4)",0.3,"(0.5, 1.5)",1,"(0.05, 0.1)",0.05,"80.33% (n = 241)","0%","0%","0%","19.67% (n = 59)",300
