"","group_id","beta1beta2","beta2minus1","varY1varY2","var2minus1","rho01rho02","rho02minus01","method2","method2, method3","method2, method4_F","method2, method5_T","method3","method3, method4_F","method4_F","method4_F, method5_T","method5_T","n"
"70",95,"(0.2, 0.4)",0.2,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,"7% (n = 22)","0%","0%","0%","71% (n = 212)","0%","0%","0%","22% (n = 66)",300
"71",39,"(0.2, 0.4)",0.2,"(0.5, 1.5)",1,"(0.1, 0.05)",-0.05,"82% (n = 247)","0%","0%","0%","0%","0%","15% (n = 45)","0%","3% (n = 8)",300
"72",19,"(0.2, 0.4)",0.2,"(0.5, 1.5)",1,"(0.1, 0.07)",-0.03,"96% (n = 288)","0%","0%","0%","0%","0%","0%","0%","4% (n = 12)",300
"73",59,"(0.2, 0.4)",0.2,"(0.5, 1.5)",1,"(0.1, 0.1)",0,"40% (n = 119)","0%","0%","0%","59% (n = 176)","0%","0%","0%","2% (n = 5)",300
"74",79,"(0.2, 0.4)",0.2,"(0.5, 1.5)",1,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","86% (n = 257)","0%","0%","0%","14% (n = 43)",300
"75",99,"(0.2, 0.4)",0.2,"(0.5, 1.5)",1,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","78% (n = 235)","0%","0%","0%","22% (n = 65)",300
"76",28,"(0.1, 0.4)",0.3,"(1.5, 0.5)",-1,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","0%","0%","100% (n = 300)","0%","0%",300
"77",8,"(0.1, 0.4)",0.3,"(1.5, 0.5)",-1,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","0%","0%","100% (n = 300)","0%","0%",300
"78",48,"(0.1, 0.4)",0.3,"(1.5, 0.5)",-1,"(0.1, 0.1)",0,"0%","0%","0%","0%","2% (n = 7)","0%","98% (n = 293)","0%","0%",300
"79",68,"(0.1, 0.4)",0.3,"(1.5, 0.5)",-1,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","4% (n = 13)","0%","96% (n = 287)","0%","0%",300
"80",88,"(0.1, 0.4)",0.3,"(1.5, 0.5)",-1,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","6% (n = 19)","0%","94% (n = 281)","0%","0%",300
"81",24,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","0%","0%","100% (n = 300)","0%","0%",300
"82",4,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","1% (n = 4)","0% (n = 1)","98% (n = 295)","0%","0%",300
"83",44,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,"0%","0%","0%","0%","8% (n = 23)","0%","92% (n = 277)","0%","0%",300
"84",64,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","9% (n = 28)","0%","91% (n = 272)","0%","0%",300
"85",84,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","12% (n = 35)","0%","88% (n = 265)","0%","0%",300
"86",32,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","6% (n = 18)","0%","94% (n = 282)","0%","0%",300
"87",12,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","13% (n = 38)","0%","87% (n = 262)","0%","0%",300
"88",52,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.1, 0.1)",0,"0%","25% (n = 74)","0%","0%","0%","0%","75% (n = 226)","0%","0%",300
"89",72,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.07, 0.1)",0.03,"51% (n = 153)","0%","0% (n = 1)","0%","0%","0%","49% (n = 146)","0%","0%",300
"90",92,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.05, 0.1)",0.05,"59% (n = 177)","0%","0%","0%","0%","0%","41% (n = 123)","0%","0%",300
"91",36,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,"22% (n = 67)","0%","0%","0%","0%","0%","78% (n = 233)","0%","0%",300
"92",16,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.1, 0.07)",-0.03,"54% (n = 162)","0%","0%","0%","0%","0%","46% (n = 138)","0%","0%",300
"93",56,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.1, 0.1)",0,"71% (n = 214)","0%","0% (n = 1)","0%","0%","0%","28% (n = 85)","0%","0%",300
"94",76,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.07, 0.1)",0.03,"75% (n = 225)","0%","0%","0%","0%","0%","25% (n = 75)","0%","0%",300
"95",96,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,"74% (n = 223)","0%","0%","0%","0%","0%","26% (n = 77)","0%","0%",300
"96",40,"(0.1, 0.4)",0.3,"(0.5, 1.5)",1,"(0.1, 0.05)",-0.05,"57% (n = 172)","0%","0%","0%","0%","0%","43% (n = 128)","0%","0%",300
"97",20,"(0.1, 0.4)",0.3,"(0.5, 1.5)",1,"(0.1, 0.07)",-0.03,"68% (n = 204)","0%","0%","0%","0%","0%","32% (n = 96)","0%","0%",300
"98",60,"(0.1, 0.4)",0.3,"(0.5, 1.5)",1,"(0.1, 0.1)",0,"90% (n = 271)","0%","0%","0%","0%","0%","10% (n = 29)","0%","0%",300
"99",80,"(0.1, 0.4)",0.3,"(0.5, 1.5)",1,"(0.07, 0.1)",0.03,"88% (n = 264)","0%","0%","0%","0%","0%","12% (n = 36)","0%","0%",300
"100",100,"(0.1, 0.4)",0.3,"(0.5, 1.5)",1,"(0.05, 0.1)",0.05,"83% (n = 250)","0%","0%","0%","0%","0%","17% (n = 50)","0%","0%",300
